//Page 0
3,0x1E,0x90
3,0x1F,0xD9
3,0x20,0x02
3,0x21,0xFF
3,0x22,0x01
3,0x23,0x00
3,0x24,0x00
3,0x25,0x00
3,0x26,0x20
3,0x27,0x00
3,0x28,0x01
3,0x29,0x08
3,0x2A,0x2D
3,0x2B,0x40
3,0x2C,0x30
3,0x2D,0xE2
3,0x2E,0x05
3,0x2F,0x64
3,0x30,0x03
3,0x31,0x9C
3,0x32,0x04
3,0x33,0xE2
3,0x34,0x05
3,0x35,0xFD
3,0x36,0x07
3,0x37,0xFE
3,0x38,0x07
3,0x39,0x00
3,0x3A,0x00
3,0x3B,0x00
3,0x3C,0x00
3,0x3D,0x00
3,0x3E,0x00
3,0x3F,0x00
3,0x40,0x00
3,0x41,0x00
3,0x42,0x00
3,0x43,0x00
3,0x44,0x00
3,0x45,0x00
3,0x46,0x00
3,0x47,0x00
3,0x48,0x00
3,0x49,0x00
3,0x4A,0x00
3,0x4B,0x00
3,0x4C,0x00
3,0x4D,0x00
3,0x4E,0x00
3,0x4F,0x00
3,0x50,0x00
3,0x51,0x00
3,0x52,0x00
3,0x53,0x00
3,0x54,0x00
3,0x55,0x00
3,0x56,0x00
3,0x57,0x00
3,0x58,0x00
3,0x59,0x00
3,0x5A,0x00
3,0x5B,0x00
3,0x5C,0x00
3,0x5D,0x00
3,0x5E,0x00
3,0x5F,0x00
3,0x60,0x00
3,0x61,0x00
3,0x62,0x00
3,0x63,0x00
3,0x64,0x00
3,0x65,0x00
3,0x66,0x00
3,0x67,0x00
3,0x68,0x00
3,0x69,0x00
3,0x6A,0x00
3,0x6B,0x00
3,0x6C,0x00
3,0x6D,0x00
3,0x6E,0x00
3,0x6F,0x00
3,0x70,0x00
3,0x71,0x00
3,0x72,0x00
3,0x73,0x00
3,0x74,0x00
3,0x75,0x00
3,0x76,0x00
3,0x77,0x00
3,0x78,0x00
3,0x79,0x00
3,0x7A,0x00
3,0x7B,0x00
3,0x7C,0x00
3,0x7D,0x00
3,0x7E,0x00
3,0x7F,0x00
